CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
VHM,2022,1,94888743000000,5628313000000,2621355000000,44040609000000,29742659000000,12855807000000,139073841000000,0,7431527000000,17322765000000,11833087000000,36768450000000,233962584000000,97890687000000,70673122000000,27217565000000,136071897000000,136071897000000,0,83893061000000,6850783000000,233962584000000,9439465000000,4060613000000,29816857000000,10925976000000,43543675000000,43543675000000,19352528000000,5810294000000,6114220000000,1359365000000,1698991000000,8089674000000,20177640000000,20177640000000
VHM,2021,4,91216562000000,4823696000000,4781458000000,37928893000000,28542791000000,15139724000000,139201127000000,8937663000000,7455509000000,11973125000000,10951996000000,49168629000000,230417689000000,98718528000000,75081616000000,23636912000000,131699161000000,131699161000000,0,83050099000000,3316010000000,230417689000000,8763879000000,3921463000000,28567889000000,13112076000000,43543675000000,43543675000000,19667987000000,8916237000000,250820000000,1410121000000,1717557000000,7263751000000,6017480000000,14955143000000
VHM,2021,3,102471473000000,4504657000000,7097859000000,50375165000000,31955358000000,8538434000000,117167271000000,0,5932230000000,11838600000000,10073783000000,48540634000000,219638744000000,100096479000000,81301092000000,18795387000000,119542265000000,119542265000000,0,68737523000000,5471690000000,219638744000000,8580578000000,10845863000000,31995475000000,7425910000000,43543675000000,43543675000000,15520443000000,15805521000000,5988258000000,2444826000000,1954827000000,6410356000000,6019434000000,6019434000000
VHM,2021,2,101733721000000,8417973000000,5629801000000,42835185000000,35875029000000,8975733000000,109115772000000,2000000000,6051979000000,11512342000000,10059936000000,43225039000000,210849493000000,111402165000000,94918698000000,16483467000000,99447328000000,99447328000000,0,67057265000000,3625498000000,210849493000000,8991933000000,12924863000000,35915146000000,7869698000000,33495139000000,33495139000000,12884057000000,23025587000000,9977807000000,2523705000000,1768369000000,6418722000000,6005140000000,6007140000000
VHM,2021,1,94043347000000,7746445000000,1795510000000,34311891000000,41595779000000,8593722000000,113671327000000,4000000000000,5839814000000,8636399000000,9992478000000,44811475000000,207714674000000,113109997000000,93266933000000,19843064000000,94604677000000,94604677000000,0,61655554000000,3508017000000,207714674000000,9225582000000,7760463000000,41633358000000,6832475000000,33495139000000,33495139000000,13730672000000,25293296000000,9365037000000,2601727000000,2337136000000,6361884000000,7040602000000,11040602000000
VHM,2020,4,102010303000000,12479392000000,3295387000000,34023922000000,43226901000000,8984701000000,112927190000000,4130000000000,6248149000000,8434762000000,9737316000000,51176219000000,214937493000000,125252007000000,101308749000000,23943258000000,89685486000000,89685486000000,0,56508726000000,3537850000000,214937493000000,8286689000000,8326493000000,43264479000000,6532775000000,33495139000000,33495139000000,13957735000000,27309718000000,10998297000000,2679239000000,2354297000000,3969035000000,1200301000000,5330301000000
VHM,2020,3,141229902000000,13547878000000,2449214000000,46862595000000,49008127000000,29362088000000,79279237000000,5837650000000,2833322000000,7214172000000,6399338000000,22963776000000,220509139000000,141731332000000,118476910000000,23254422000000,78777807000000,78777807000000,0,44835648000000,3875680000000,220509139000000,7413985000000,11639762000000,49022653000000,24389261000000,33495139000000,33495139000000,19874488000000,34401835000000,11935398000000,931954000000,1395426000000,3652414000000,1303391000000,7141041000000
VHM,2020,2,141342852000000,11859527000000,503975000000,53621486000000,58562449000000,16795415000000,83446699000000,12803620000000,2843468000000,6578008000000,2952950000000,24923842000000,224789551000000,149003684000000,124703255000000,24300429000000,75785867000000,75785867000000,0,38232990000000,7486398000000,224789551000000,8128116000000,11334643000000,58573393000000,12842803000000,33495139000000,33495139000000,21293527000000,37874120000000,20131329000000,965798000000,1396786000000,2738270000000,1050069000000,13853689000000
VHM,2020,1,141421460000000,4439856000000,353741000000,53058225000000,61642053000000,21927585000000,61585689000000,5745520000000,621365000000,6309514000000,2952950000000,16549150000000,203007149000000,130668570000000,121111829000000,9556741000000,72338579000000,72338579000000,0,32883509000000,9415532000000,203007149000000,9339081000000,16910092000000,61648573000000,18397913000000,33495139000000,33495139000000,6957612000000,41221834000000,19668821000000,922622000000,2515339000000,2738270000000,410427000000,6155947000000
VHM,2019,4,133821706000000,7231388000000,331243000000,53875313000000,60075323000000,12308439000000,63348427000000,7863900000000,281660000000,6613349000000,773312000000,19557192000000,197170133000000,132414037000000,121053194000000,11360843000000,64756096000000,64756096000000,0,25540903000000,9158714000000,197170133000000,8793328000000,16507454000000,60085091000000,9102913000000,33495139000000,33495139000000,8343025000000,40700721000000,18162354000000,954181000000,2562021000000,558632000000,80262000000,7944162000000
VHM,2019,3,112763374085401,9038091555930,319071383180,42174179407771,49772220626916,11459811111604,48898156738744,1935000000000,377998332584,6166489025948,478312164507,13007337542052,161661530824145,98178200445317,74441769825065,23736430620252,63483330378828,63483330378828,0,18094589217061,9782332614133,161661530824145,8005882247362,15783424106330,49794623159119,9319842081221,33495139180000,33495139180000,20679970601694,29906820199065,8745482930628,986085998244,2124598497945,378632164507,100246473263,2035246473263
VHM,2019,2,103263325121450,14035726372516,576495062487,49900229202921,27629827279959,11121047203567,35672019794984,1302000000000,280620111680,6020703693196,478312164507,8856237857859,138935344916434,79962451164023,57473636326673,22488814837350,58972893752411,58972893752411,0,17536117689180,5830367515597,138935344916434,4724788395321,2845924106330,27675868329847,9834033169935,33495139180000,33495139180000,19900515001654,17839751594073,6161391721204,1017990856694,2133148079181,378632164507,209729344242,1511729344242
VHM,2019,1,96614245780097,2387016056828,831024056998,47303771369743,36886776624018,9205657672510,31857866515770,0,217582044663,5833159677264,478312164507,6911000931613,128472112295867,77716281439628,54862053253340,22854228186288,50755830856239,50755830856239,0,10167140718353,4982281590252,128472112295867,3953618653519,2846524106330,37010301533186,6512328187792,33495139180000,33495139180000,20010972764585,21844769716480,6325846587030,1049548923202,495345954110,378632164507,40407387013,40407387013
VHM,2018,4,80465682928899,3515572453074,1009404569232,41761058868963,27090038846487,7089608191143,37341987805469,4450000000000,398391031446,5904210856228,478312164507,3286177243188,117807670734368,69688995569906,41057661343703,28631334226203,48118675164462,48118675164462,0,7556052037943,4945234965448,117807670734368,4876399107759,77857439663,27296838412270,5787020818492,33495139180000,33495139180000,25505722594751,13969112888147,6402913383759,1018689774715,505772292194,378632164507,139690864013,4589690864013
VHM,2018,3,107648617911024,5928624411953,1193862323632,55429467796119,38316304130542,6780359248778,30546015137654,3257497661,395635420062,5759951934771,72223000000,4346069352873,138194633048678,91919408264058,64012184847128,27907223416930,46275224784620,46275224784620,1834550998440,12565479799058,5079078487122,138194633048678,6478940380477,16424599942002,38392795541846,5374128187792,26796115500000,26796115500000,25685578253688,19863490090061,15911868004218,1144821394249,482571827696,22223000000,138368967335,141626464996
VHM,2018,2,79522351482962,4718599887522,1183838995291,27355804715079,36789016064805,9475091820265,37890490194200,3257497661,98624721893,5876278148593,189223000000,3797814392145,117412841677162,74860008578929,61267870377485,13592138201444,42552833098233,42552833098233,0,9142752169807,4752445907859,117412841677162,6285223172463,4769599942002,37001716994876,8088882566016,26796115500000,26796115500000,6850833614271,18674344281808,22313100000000,1173150357111,521020975464,139223000000,9076798745262,9080056242923
VHM,2018,1,63034145841192,2062432049868,730617271237,17623139609227,25840259374721,16777697536139,31658608878592,3257497661,2742274059718,2280314604787,208315169556,8570786954753,94692754719784,56445110719097,47588527798620,8856582920477,38247644000687,38247644000687,0,5004652644050,4625138178482,94692754719784,3582247903951,6008491012120,26117747383045,15667673702653,26796115500000,26796115500000,6843026474853,16991759749448,9554239981916,1151738280087,445758969748,148867327643,134228155073,137485652734
VHM,2017,4,44421050167080,1561577770818,0,24774715203806,17006259676992,1078497515464,6882768858975,3257497661,1355894476327,163038247202,1754972107124,1059070162884,51303819026055,41180033529612,34223057193372,6956976336240,10123785496443,10123785496443,0,5003298133184,3219605214270,51303819026055,1695194896147,9477028513431,17265369555979,206578466985,2000000000000,2000000000000,6627686696069,16845744264404,8699590490328,626811318467,392514863581,1695528410000,84480824736,87738322397
VHM,2017,1,17588966907958,3130787814820,0,6581696792056,7193756083267,682726217815,21896079418563,3989915115,3210903049444,2057167351364,10635715306480,737967757721,39485046326521,29167961409008,28036274639358,1131686769650,10317084917513,10317084917513,0,3710860555377,7374847041442,39485046326521,738621843700,5219473499719,7202142963005,96816638037,2000000000000,2000000000000,0,10193240889952,9968432569431,679520584365,50191999331,1657317823200,242866539736,246856454851
VHM,2016,4,13289555996333,2802422910160,0,4698395475334,5189415136375,599322474464,21028188226553,3989915115,3103907347589,1135706826631,10878265384839,3599353253071,34317744222886,27831585674942,26658567757222,1173017917720,6486158547944,6486158547944,0,3354603743436,3942877981794,34317744222886,496777421006,3122655962694,5197802016113,96816638030,2000000000000,2000000000000,0,10662330125207,8929678052030,3534381475308,58190146520,1654613852400,101801490833,105791405948
VHM,2016,3,16984303421610,756280167021,0,7233230648413,8021397872553,973394733623,16796568537957,7559839165,5088127450165,244179429474,7758728790099,482454652428,33780871959567,29380298180629,28956795841990,423502338639,4400573778938,4400573778938,0,1859345356488,3365031679302,33780871959567,1022519625584,361362643357,8025119439217,259789445786,2000000000000,2000000000000,365056933529,12691167293745,8667085361359,393403128474,88924592655,1618307823200,46494257238,54054096403
VHM,2016,2,10523132392811,252928903892,53324400539,1208526623033,8099856924609,908495540738,17698555639928,7559839165,3198651302659,219232374535,12228867907015,468578508270,28221688032739,21563669330998,21129628249548,434041081450,6658018701741,6658018701741,0,1342830128804,3379961588479,28221688032739,577113045622,361868557701,8103069223105,259789445787,2000000000000,2000000000000,376056384382,11686119086705,2622062118926,404139872608,59412753436,1571256960200,13199544587,20759383752
VHM,2016,1,11043961481674,870801186357,664700267493,1972577930272,6428518771659,1107363325893,17615127389796,7559839165,2775778427825,221816653386,12577131056516,479653500278,28659088871470,21429731673119,20981030530565,448701142554,7229357198351,7229357198351,0,1875418198513,3395155278051,28659088871470,972515008546,88939790100,6431246071757,586772755922,2000000000000,2000000000000,386205595974,9537384088966,5122954593816,419368488668,54756541161,1694186960200,12364919407,19924758572
